Date,AAPL_Price,META_Price,AMZN_Price,GOOGL_Price,NDX_Price
09/23/2022,150.43,140.41,113.78,98.74,11311.24
09/22/2022,152.74,142.82,117.31,100.14,11501.65
09/21/2022,153.72,142.12,118.54,99.28,11637.79
09/20/2022,156.9,146.09,122.19,101.14,11851.54
09/19/2022,154.48,148.02,124.66,103.07,11953.28
09/16/2022,150.7,146.29,123.58,102.8,11861.38
09/15/2022,152.37,149.55,126.28,102.91,11927.49
09/14/2022,155.43,151.47,128.63,105.0,12134.40
09/13/2022,153.84,153.13,126.82,104.32,12033.62
09/12/2022,163.43,168.96,136.45,110.86,12739.72
09/09/2022,157.37,169.15,133.27,110.65,12588.29
09/08/2022,154.45,162.06,129.82,108.38,12321.19
09/07/2022,155.96,160.39,129.48,109.45,12259.39
09/06/2022,154.53,158.54,126.11,106.81,12011.31
09/02/2022,155.81,160.32,127.51,107.85,12098.44
09/01/2022,157.96,165.36,127.82,109.74,12274.63
08/31/2022,157.22,162.93,126.77,108.22,12272.03
08/30/2022,158.91,157.16,128.73,108.94,12342.70
08/29/2022,161.38,159.17,129.79,109.42,12484.32
08/26/2022,163.62,161.78,130.75,110.34,12605.17
08/25/2022,170.03,168.78,137.28,116.65,13143.58
08/24/2022,167.53,163.26,133.8,113.69,12917.86
08/23/2022,167.23,161.11,133.62,113.86,12881.79
08/22/2022,167.57,163.05,133.22,114.24,12890.54
08/19/2022,171.52,167.96,138.23,117.21,13242.90
08/18/2022,174.15,174.66,142.3,120.17,13505.99
08/17/2022,174.55,174.85,142.1,119.55,13470.86
08/16/2022,173.03,179.47,144.78,121.7,13635.21
08/15/2022,173.19,180.89,143.18,122.08,13667.18
08/12/2022,172.1,180.5,143.55,121.68,13565.87
08/11/2022,168.49,177.49,140.64,118.84,13291.99
08/10/2022,169.24,178.34,142.69,119.7,13378.32
08/09/2022,164.92,168.53,137.83,116.63,13008.17
08/08/2022,164.87,170.25,139.41,117.3,13159.16
08/05/2022,165.35,167.11,140.8,117.47,13207.69
08/04/2022,165.81,170.57,142.57,118.19,13311.04
